sound1,sound2,syllable_label,step_number,time,f0_1,f0_2,f0_interp,method
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,1,0.094,294.1,328.1,294.1,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,1,0.104,298.2,328.4,298.2,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,1,0.114,301.3,328.9,301.3,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,1,0.124,303.3,329.8,303.3,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,1,0.134,308.5,330.7,308.5,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,1,0.144,312.4,331.3,312.4,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,1,0.154,315,330.1,315,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,1,0.164,308.7,326.4,308.7,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,2,0.094,294.1,328.1,302.2,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,2,0.104,298.2,328.4,305.5,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,2,0.114,301.3,328.9,308,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,2,0.124,303.3,329.8,309.7,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,2,0.134,308.5,330.7,313.9,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,2,0.144,312.4,331.3,317,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,2,0.154,315,330.1,318.7,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,2,0.164,308.7,326.4,313,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,3,0.094,294.1,328.1,310.6,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,3,0.104,298.2,328.4,312.9,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,3,0.114,301.3,328.9,314.8,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,3,0.124,303.3,329.8,316.2,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,3,0.134,308.5,330.7,319.4,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,3,0.144,312.4,331.3,321.7,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,3,0.154,315,330.1,322.4,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,3,0.164,308.7,326.4,317.4,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,4,0.094,294.1,328.1,319.3,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,4,0.104,298.2,328.4,320.6,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,4,0.114,301.3,328.9,321.7,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,4,0.124,303.3,329.8,322.9,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,4,0.134,308.5,330.7,325,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,4,0.144,312.4,331.3,326.5,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,4,0.154,315,330.1,326.3,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,4,0.164,308.7,326.4,321.9,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,5,0.094,294.1,328.1,328.1,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,5,0.104,298.2,328.4,328.4,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,5,0.114,301.3,328.9,328.9,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,5,0.124,303.3,329.8,329.8,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,5,0.134,308.5,330.7,330.7,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,5,0.144,312.4,331.3,331.3,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,5,0.154,315,330.1,330.1,log
kata_syllable1_buffered,katta_syllable1_buffered,syllable1,5,0.164,308.7,326.4,326.4,log
