ID,age,gender,MLD_A,MLD_P
102,28,Female,0,0
103,33,Female,0,0
104,32,Female,0,0
106,32,Female,0,0
107,32,Female,0.91,0.67
108,27,Female,0,0
109,34,Male,0,0
110,26,Male,0.44,0.3
111,30,Female,0,0
112,37,Female,0,0
113,32,Male,0,0.48
114,26,Female,0,0
115,37,Male,0,0.12
118,39,Male,0,0
119,36,Male,0,0
121,22,Male,0,0.66
122,22,Female,0.91,0.1
123,36,Female,0,0
124,38,Male,0,0
125,34,Male,0,0.46
126,33,Female,0,0
127,34,Male,0,0
128,22,Non-binary,0.42,0.16
129,34,Male,0,0
131,40,Female,0.63,0
132,38,Female,0,0
133,35,Female,0,0.16
135,36,Male,0,0
137,22,Female,0,0
139,33,Male,1.36,0
140,31,Female,0,0.34
141,34,Female,0,0
142,19,Male,0.71,0
145,39,Female,0.74,0.43
146,20,Female,0.45,0
147,38,Female,1.34,0
148,26,Female,0,0
149,27,Male,1.31,0
150,34,Female,0.74,0
151,26,Male,0,0
152,37,Female,0,0
153,36,Female,0,0
155,39,Female,0,0.11
156,32,Female,0.85,0
157,23,Male,0,0
158,33,Male,0,0
159,32,Female,0,0.2
160,29,Female,0,0.17
161,23,Female,0,0
162,38,Female,0,0.45
163,33,Male,0.9,0
167,28,Female,0,0.21
168,32,Male,0,0
169,34,Female,0,0
170,25,Female,0.81,0.01
171,19,Female,0,0.16
172,33,Male,0,0.07
174,30,Female,0.66,0.24
175,36,Male,0,0
176,32,Female,0,0
177,35,Female,0,0
178,33,Female,0,0
179,35,Female,0,0
181,32,Male,0,0
182,26,Male,0,0.11
183,28,Male,0,0
184,35,Male,0,0
186,24,Female,0,0
187,40,Male,0,0
188,26,Female,0,0
189,32,Male,0.82,0
190,21,Female,0,0
191,31,Male,0.96,1.44
194,37,Male,0,0
197,32,Male,0,0
198,41,Male,0,0.08
199,29,Male,0,0
200,38,Male,0,0
202,24,Male,0,0
203,29,Female,0,0
